ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,AGE,YEARS_EMPLOYED,CNT_CHILDREN_0,CNT_CHILDREN_1,CNT_CHILDREN_2,CNT_CHILDREN_3,CNT_CHILDREN_4,CNT_CHILDREN_5
963675008804,1,1,1,1045000.0,4,1,0,4,1,1,0,0,10,2.0,33.0,13.0,1,0,0,0,0,0
769805008805,1,1,1,1045000.0,4,1,0,4,1,1,0,0,10,2.0,33.0,13.0,1,0,0,0,0,0
869385008806,1,1,1,275000.0,4,4,1,1,1,0,0,0,16,2.0,59.0,4.0,1,0,0,0,0,0
511015008808,0,0,1,660000.0,0,4,3,1,1,0,1,1,14,1.0,53.0,9.0,1,0,0,0,0,0
350155008809,0,0,1,660000.0,0,4,3,1,1,0,1,1,14,1.0,53.0,9.0,1,0,0,0,0,0
366895008810,0,0,1,660000.0,0,4,3,1,1,0,1,1,14,1.0,53.0,9.0,1,0,0,0,0,0
193905008811,0,0,1,660000.0,0,4,3,1,1,0,1,1,14,1.0,53.0,9.0,1,0,0,0,0,0
891885008812,0,0,1,693000.0,1,1,2,1,1,0,0,0,3,1.0,62.0,-0.0,1,0,0,0,0,0
675325008813,0,0,1,693000.0,1,1,2,1,1,0,0,0,3,1.0,62.0,-0.0,1,0,0,0,0,0
261825008814,0,0,1,693000.0,1,1,2,1,1,0,0,0,3,1.0,62.0,-0.0,1,0,0,0,0,0
482335008815,1,1,1,660000.0,4,1,1,1,1,1,1,1,0,2.0,47.0,3.0,1,0,0,0,0,0
436015112956,1,1,1,660000.0,4,1,1,1,1,1,1,1,0,2.0,47.0,3.0,1,0,0,0,0,0
158175008819,1,1,1,330000.0,0,4,1,1,1,0,0,0,8,2.0,49.0,4.0,1,0,0,0,0,0
380845008820,1,1,1,330000.0,0,4,1,1,1,0,0,0,8,2.0,49.0,4.0,1,0,0,0,0,0
628155008821,1,1,1,330000.0,0,4,1,1,1,0,0,0,8,2.0,49.0,4.0,1,0,0,0,0,0
231675008822,1,1,1,330000.0,0,4,1,1,1,0,0,0,8,2.0,49.0,4.0,1,0,0,0,0,0
813535008823,1,1,1,330000.0,0,4,1,1,1,0,0,0,8,2.0,49.0,4.0,1,0,0,0,0,0
575715008824,1,1,1,330000.0,0,4,1,1,1,0,0,0,8,2.0,49.0,4.0,1,0,0,0,0,0
724775008825,0,1,0,319000.0,4,2,1,1,1,0,0,0,0,2.0,30.0,4.0,1,0,0,0,0,0
328075008826,0,1,0,319000.0,4,2,1,1,1,0,0,0,0,2.0,30.0,4.0,1,0,0,0,0,0
581955008830,0,0,1,385000.0,4,4,1,1,1,0,1,0,8,2.0,28.0,5.0,1,0,0,0,0,0
901135008831,0,0,1,385000.0,4,4,1,1,1,0,1,0,8,2.0,28.0,5.0,1,0,0,0,0,0
412955008832,0,0,1,385000.0,4,4,1,1,1,0,1,0,8,2.0,28.0,5.0,1,0,0,0,0,0
544045008834,0,0,1,275000.0,4,4,3,1,1,0,0,0,8,2.0,31.0,5.0,0,9,0,0,0,0
610615008835,0,0,1,275000.0,4,4,3,1,1,0,0,0,8,2.0,31.0,5.0,0,10,0,0,0,0
191165008836,1,1,1,660000.0,4,4,1,1,1,0,0,0,8,5.0,35.0,4.0,0,0,0,4,0,0
739995008837,1,1,1,660000.0,4,4,1,1,1,0,0,0,8,5.0,35.0,4.0,0,0,0,9,0,0
626705008838,1,0,1,990000.0,0,1,1,1,1,0,0,0,10,3.0,33.0,6.0,0,9,0,0,0,0
